date,equity
2024-08-01,1.0
2024-08-02,1.0
2024-08-05,1.0
2024-08-06,1.0
2024-08-07,1.0
2024-08-08,1.0
2024-08-09,1.0
2024-08-12,1.0
2024-08-13,1.0
2024-08-14,1.0
2024-08-15,1.0
2024-08-16,1.0
2024-08-19,1.0
2024-08-20,1.0
2024-08-21,1.0
2024-08-22,1.0
2024-08-23,1.0
2024-08-26,1.0
2024-08-27,1.0
2024-08-28,1.0
2024-08-29,1.0
2024-08-30,1.0
2024-09-02,1.0
2024-09-03,1.0
2024-09-04,1.0
2024-09-05,1.0
2024-09-06,1.0
2024-09-09,1.0
2024-09-10,1.0
2024-09-11,1.0
2024-09-12,1.0
2024-09-13,1.0
2024-09-16,1.0
2024-09-17,1.0
2024-09-18,1.0
2024-09-19,1.0
2024-09-20,1.0
2024-09-23,1.0
2024-09-24,1.0
2024-09-25,1.0
2024-09-26,1.0
2024-09-27,1.0
2024-09-30,1.0
2024-10-01,1.0
2024-10-02,1.0
2024-10-03,1.0
2024-10-04,1.0
2024-10-07,1.0
2024-10-08,1.0
2024-10-09,1.0
2024-10-10,1.0
2024-10-11,1.0
2024-10-14,1.0
2024-10-15,1.0
2024-10-16,1.0
2024-10-17,1.0
2024-10-18,1.0
2024-10-21,1.0
2024-10-22,1.0
2024-10-23,1.0
2024-10-24,1.0
2024-10-25,1.0
2024-10-28,1.0
2024-10-29,0.9976643312119919
2024-10-30,0.9989690157312998
2024-10-31,0.9933484396982275
2024-11-01,0.9836302973468161
2024-11-04,0.9844943589783408
2024-11-05,0.9801505878386039
2024-11-06,0.9874447540748182
2024-11-07,0.9920446697231482
2024-11-08,0.9849695452299589
2024-11-11,0.9834769629977635
2024-11-12,0.9850914725273124
2024-11-13,0.9812300159094771
2024-11-14,0.9804097888438691
2024-11-15,0.9770218534332636
2024-11-18,0.9731614312252531
2024-11-19,0.9662283808352163
2024-11-20,0.9639518032053843
2024-11-21,0.9606040923849253
2024-11-22,0.9604524641572919
2024-11-25,0.9709710984492973
2024-11-26,0.9741670700869249
2024-11-27,0.970732340498731
2024-11-28,0.9658566881701142
2024-11-29,0.9678998205175247
2024-12-02,0.9699528832398516
2024-12-03,0.9724641876995019
2024-12-04,0.961266768774053
2024-12-05,0.9575965242334638
2024-12-06,0.9589641892294861
2024-12-09,0.969605437989594
2024-12-10,0.9557366748077953
2024-12-11,0.9551021108961919
2024-12-12,0.9569470421906248
2024-12-13,0.9632427805746017
2024-12-16,0.9502617202463344
2024-12-17,0.931900813060253
2024-12-18,0.9334974284288792
2024-12-19,0.9266943652552873
2024-12-20,0.9229531041693892
2024-12-23,0.9258428469474231
2024-12-24,0.9228892469177656
2024-12-25,0.9317917503432143
2024-12-26,0.9257203480205403
2024-12-27,0.9317105104400644
2024-12-30,0.9369509244665287
2024-12-31,0.9385754285971054
2025-01-01,0.937692335544396
2025-01-02,0.9377815829287436
2025-01-03,0.9497314663028699
2025-01-06,0.9498801968338894
2025-01-07,0.95139934778718
2025-01-08,0.951637772276538
2025-01-09,0.9552582923419903
2025-01-10,0.9620629574418762
2025-01-13,0.9632311822464291
2025-01-14,0.953671243733917
2025-01-15,0.962863218265016
2025-01-16,0.9664670974386332
2025-01-17,0.9701039786585788
2025-01-20,0.9733761955891378
2025-01-21,0.963181150200121
2025-01-22,0.9648751094600826
2025-01-23,0.9691733459922564
2025-01-24,0.97256897822001
2025-01-27,0.9845073321072179
2025-01-28,0.9775074692290295
2025-01-29,0.993797556662196
2025-01-30,0.9894908314187029
2025-01-31,0.977943401628009
2025-02-03,0.973074493045481
2025-02-04,0.9738201312442727
2025-02-05,0.9774098237184167
2025-02-06,0.9733724745870981
2025-02-07,0.9705278978410388
2025-02-10,0.9721959934811026
2025-02-11,0.9739717102278779
2025-02-12,0.9863287014206343
2025-02-13,0.984682397870858
2025-02-14,0.9770455977287223
2025-02-17,0.9679988761893649
2025-02-18,0.9599469513887066
2025-02-19,0.9529929664114201
2025-02-20,0.9528633572850144
2025-02-21,0.9564369892979437
2025-02-24,0.9573422634878436
2025-02-25,0.9529601337375443
2025-02-26,0.9524853493404657
2025-02-27,0.9477615991460492
2025-02-28,0.9539933664898472
2025-03-03,0.9430026393245743
2025-03-04,0.9454268927172502
2025-03-05,0.952242135730878
2025-03-06,0.9536793306852468
2025-03-07,0.942331751687258
2025-03-10,0.9445411407180427
2025-03-11,0.9390755087284632
2025-03-12,0.9360865844618302
2025-03-13,0.9326394147309248
2025-03-14,0.9466590108749623
2025-03-17,0.9524242747800935
2025-03-18,0.9372291433421782
2025-03-19,0.9346297292712368
2025-03-20,0.9403438718937235
2025-03-21,0.9425032893794152
2025-03-24,0.9509692833561902
2025-03-25,0.9561375416276008
2025-03-26,0.9544708444789267
2025-03-27,0.958089513593968
2025-03-28,0.9573066094548727
2025-03-31,0.9589186504711225
2025-04-01,0.962476127438677
2025-04-02,0.9620237483969453
2025-04-03,0.9605889975960652
2025-04-04,0.9588446242174531
2025-04-07,0.957142367040777
2025-04-08,0.9493239878621553
2025-04-09,0.9536175290953827
2025-04-10,0.9629795190722095
2025-04-11,0.9574326072698364
2025-04-14,0.9582358371263148
2025-04-15,0.9672214531095797
2025-04-16,0.9635459744480818
2025-04-17,0.9617076099187839
2025-04-18,0.9621208123061499
2025-04-21,0.9573937162464099
2025-04-22,0.9538962885202047
2025-04-23,0.9526225198627359
2025-04-24,0.9469437224438242
2025-04-25,0.940615624807584
2025-04-28,0.9459247452158924
2025-04-29,0.9428374166099303
2025-04-30,0.9463354159437627
2025-05-01,0.9434807676736551
2025-05-02,0.9479760687545875
2025-05-05,0.9471115813522404
2025-05-06,0.94529089363735
2025-05-07,0.9418082755441082
2025-05-08,0.9428978371589203
2025-05-09,0.956206335261188
2025-05-12,0.9481517473881589
2025-05-13,0.9531406551098874
2025-05-14,0.9578404692813696
2025-05-15,0.961085724057358
2025-05-16,0.953475871268926
2025-05-19,0.9532643851448449
2025-05-20,0.9532561590047486
2025-05-21,0.9573884364088561
2025-05-22,0.9601252183814719
2025-05-23,0.9535085549073522
2025-05-26,0.9506012934263078
2025-05-27,0.9562775011133422
2025-05-28,0.9571153986933245
2025-05-29,0.9564176923982112
2025-05-30,0.9630007308743641
2025-06-02,0.9616789419866476
2025-06-03,0.9675596513635072
2025-06-04,0.9591089162318366
2025-06-05,0.9586403198371556
2025-06-06,0.9563506383597719
2025-06-09,0.955813963409914
2025-06-10,0.9471686328469914
2025-06-11,0.9479563286195077
2025-06-12,0.9435443074178627
2025-06-13,0.9405739890635598
2025-06-16,0.9398091357233256
2025-06-17,0.9457374639640217
2025-06-18,0.9403044739285501
2025-06-19,0.9353318657816394
2025-06-20,0.927820690026631
2025-06-23,0.9354848787476325
2025-06-24,0.936991750138772
2025-06-25,0.9295797828665349
2025-06-26,0.9211470881251532
2025-06-27,0.9314184549338203
2025-06-30,0.9274396947519166
2025-07-01,0.9267799622027957
2025-07-02,0.9225308209754904
2025-07-03,0.9235555841678157
2025-07-04,0.9217840290385242
2025-07-07,0.9290882281635326
2025-07-08,0.930015877328437
2025-07-09,0.9398199135909452
2025-07-10,0.9361769566097096
2025-07-11,0.9381385623104249
2025-07-14,0.9391122737171982
2025-07-15,0.9344182631362109
2025-07-16,0.9302553723928071
2025-07-17,0.9200969085473794
2025-07-18,0.9273640633231212
2025-07-21,0.9280830139753835
2025-07-22,0.9218133527749998
2025-07-23,0.916128316207009
2025-07-24,0.9109200646274547
2025-07-25,0.9132939267094539
2025-07-28,0.9118302658247818
2025-07-29,0.9091339709651999
2025-07-30,0.9040145982078132
2025-07-31,0.9095758837328887
2025-08-01,0.9104271943114112
2025-08-04,0.9160513421722392
2025-08-05,0.9133777629490079
2025-08-06,0.918613033289639
2025-08-07,0.9325433626224638
2025-08-08,0.9265721587887861
2025-08-11,0.9144823980300507
2025-08-12,0.9283134771952294
2025-08-13,0.9369687517947528
2025-08-14,0.9372358345450584
2025-08-15,0.9272810058518651
2025-08-18,0.9340161023014083
2025-08-19,0.9327490408552963
2025-08-20,0.924540775661953
2025-08-21,0.928596427360521
2025-08-22,0.9224991352862453
2025-08-25,0.9256328416180538
2025-08-26,0.9168372773989454
2025-08-27,0.9188255212910528
2025-08-28,0.9240596617554468
2025-08-29,0.929441478514254
2025-09-01,0.9232507779257049
2025-09-02,0.9281050610240904
2025-09-03,0.9245478034851111
2025-09-04,0.925360863175103
2025-09-05,0.926937238131703
2025-09-08,0.9274488107180987
2025-09-09,0.926975427567812
2025-09-10,0.9234787065882186
2025-09-11,0.9209919582986495
2025-09-12,0.9224943136230095
2025-09-15,0.923156381935665
2025-09-16,0.9159692875301331
2025-09-17,0.9065897654632789
2025-09-18,0.9135340650176911
2025-09-19,0.9202859197970429
2025-09-22,0.922370070131487
2025-09-23,0.9206932221920404
2025-09-24,0.9099629154989798
2025-09-25,0.9166759483512527
2025-09-26,0.920407658559347
2025-09-29,0.9212677868383395
2025-09-30,0.9305521625673482
2025-10-01,0.9291504992063276
2025-10-02,0.9262754803681976
2025-10-03,0.93175741256431
2025-10-06,0.935790291899534
2025-10-07,0.9316512340053096
2025-10-08,0.9336783372091191
2025-10-09,0.938666579354034
2025-10-10,0.9461959629496093
2025-10-13,0.9507631275250458
2025-10-14,0.9614500056274363
2025-10-15,0.9585770583992138
2025-10-16,0.9524389549267334
2025-10-17,0.9528157685005509
2025-10-20,0.9614320837813968
2025-10-21,0.9668571837645621
2025-10-22,0.9687481487341691
2025-10-23,0.9592900064667541
2025-10-24,0.9520376920741516
2025-10-27,0.9583537933534678
2025-10-28,0.9583488628167526
2025-10-29,0.9635288467824796
2025-10-30,0.9608601638796717
2025-10-31,0.9592484716518753
2025-11-03,0.9595452707774539
2025-11-04,0.951286230135612
2025-11-05,0.9543768782354002
2025-11-06,0.9543620589200791
2025-11-07,0.9549805531394155
2025-11-10,0.9540322352754954
2025-11-11,0.9611062375547152
2025-11-12,0.9668714321785854
2025-11-13,0.977994200719188
2025-11-14,0.9637902193786122
2025-11-17,0.9669833529601086
2025-11-18,0.9646557206516815
2025-11-19,0.9767042477852308
2025-11-20,0.983920271793094
2025-11-21,0.990390327322671
2025-11-24,0.9912148237382178
2025-11-25,0.9844975749580972
2025-11-26,0.9829634678036161
2025-11-27,0.9845506314346057
2025-11-28,0.9832745580893962
2025-12-01,0.9853667007555844
2025-12-02,0.9914223886947637
2025-12-03,0.9820400346468584
2025-12-04,0.989916106851778
2025-12-05,0.9879328015305294
2025-12-08,0.9901949203701763
2025-12-09,0.987933158794501
2025-12-10,0.9932131182194226
2025-12-11,0.9875627133725678
